date,lme_cash_usd_per_tonne,lme_cash_usd_per_lb
2019-01-02,5839.0,2.6485289981947004
2019-01-03,5811.0,2.6358283967305023
2019-01-04,5840.0,2.648982591104136
2019-01-07,5889.5,2.6714354401212
2019-01-08,5904.5,2.678239333762735
2019-01-09,5964.0,2.7052281118741552
2019-01-10,5908.5,2.680053705400477
2019-01-11,5926.5,2.688218377770319
2019-01-14,5861.0,2.658508042202284
2019-01-15,5882.0,2.668033493300433
2019-01-16,5911.0,2.6811876876740666
2019-01-17,5933.0,2.6911667316816503
2019-01-18,6022.0,2.7315365006214223
2019-01-21,5951.5,2.69955820050621
2019-01-22,5926.5,2.688218377770319
2019-01-23,5920.5,2.685496820313705
2019-01-24,5885.0,2.6693942720287396
2019-01-25,5901.0,2.67665175857971
2019-01-28,5996.0,2.7197430849760957
2019-01-29,6007.0,2.7247326069798876
2019-01-30,6077.0,2.7564841106403826
2019-01-31,6148.0,2.788689207210313
2019-02-01,6097.5,2.7657827652838134
2019-02-04,6076.5,2.7562573141856648
2019-02-05,6174.0,2.8004826228556396
2019-02-06,6210.0,2.8168119675953225
2019-02-07,6227.0,2.8245230470557288
2019-02-08,6207.0,2.8154511888670157
2019-02-11,6148.0,2.788689207210313
2019-02-12,6102.0,2.7678239333762735
2019-02-13,6120.0,2.775988605746115
2019-02-14,6178.5,2.8025237909481002
2019-02-15,6190.0,2.80774010940661
2019-02-18,6269.5,2.8438007457067433
2019-02-19,6246.5,2.8333681087897236
2019-02-20,6351.5,2.8809953642804658
2019-02-21,6391.0,2.8989122842031736
2019-02-22,6489.0,2.9433643893278663
2019-02-25,6546.0,2.9692191851656977
2019-02-26,6471.0,2.935199716958025
2019-02-27,6533.0,2.9633224773430342
2019-02-28,6536.0,2.9646832560713414
2019-03-01,6572.0,2.9810126008110243
2019-03-04,6420.0,2.912066478576807
2019-03-05,6553.5,2.972621131986465
2019-03-06,6505.0,2.9506218758788365
2019-03-07,6458.0,2.9293030091353613
2019-03-08,6398.5,2.902314231023941
2019-03-11,6435.0,2.9188703722183416
2019-03-12,6510.0,2.9528898404260144
